2026-03-24 13:23:59 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_25313rjb_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_25313rjb', '-l', 'eng', 'txt']
2026-03-24 13:23:59 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_auq1opx0_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_auq1opx0', '-l', 'eng', 'txt']
2026-03-24 13:24:00 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_3ht_ht68_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_3ht_ht68', '-l', 'eng', 'txt']
2026-03-24 13:24:00 | DEBUG    | clickbot.vision | Return type '1040' -> '1040'
2026-03-24 13:24:00 | DEBUG    | clickbot.vision | CSV scan row 4: ANASTASIA SAVCHUK not in CSV, skipping
2026-03-24 13:24:00 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_t96v5vhe_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_t96v5vhe', '-l', 'eng', 'txt']
2026-03-24 13:24:00 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_60lg7b3s_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_60lg7b3s', '-l', 'eng', 'txt']
2026-03-24 13:24:00 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_cojfdup5_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_cojfdup5', '-l', 'eng', 'txt']
2026-03-24 13:24:01 | DEBUG    | clickbot.vision | Return type '1040' -> '1040'
2026-03-24 13:24:01 | INFO     | clickbot.vision | CSV scan: found TODO client ANATOLIE ANTONIU (1040) at row 5
2026-03-24 13:24:01 | INFO     | clickbot.bot_controller | ============================================================
2026-03-24 13:24:01 | INFO     | clickbot.bot_controller | CLIENT #1: ANATOLIE ANTONIU (1040)
2026-03-24 13:24:01 | INFO     | clickbot.bot_controller | ============================================================
2026-03-24 13:24:01 | INFO     | clickbot.executor | Double-click at (190, 453)
2026-03-24 13:24:05 | DEBUG    | clickbot.executor | Double-click completed, waited 4.0s
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\blue_i_icon.png ((38, 35, 3))
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.151 (threshold=0.8)
2026-03-24 13:24:05 | ERROR    | clickbot.vision | Element not found: common/blue_i_icon.png (max confidence: 0.151)
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Vision configured: base_path=C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons, confidence=0.8
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Tesseract (bundled): C:\TaxActBot\dist\TaxActBot\_internal\tesseract_bundle\tesseract.exe
2026-03-24 13:24:05 | DEBUG    | clickbot.process_executor | ProcessExecutor initialized
2026-03-24 13:24:05 | INFO     | clickbot.process_loader | Loading process: C:\TaxActBot\dist\TaxActBot\_internal\config\processes\1040.json
2026-03-24 13:24:05 | DEBUG    | clickbot.process_loader | Process validation passed: 19 steps/stages
2026-03-24 13:24:05 | INFO     | clickbot.process_loader | Process loaded: Form 1040 E-File Extension with 19 steps
2026-03-24 13:24:05 | INFO     | clickbot.process_executor | [1040] Step  1/19 | click_efile_menu                    | Click E-File in the top menu bar
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\01_basic_information.png ((29, 134, 3))
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:05 | INFO     | clickbot.vision | Element found: 1040/01_basic_information.png at (539, 147) confidence=1.000
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\efile_menu.png ((23, 57, 3))
2026-03-24 13:24:05 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:05 | INFO     | clickbot.vision | Element found: common/efile_menu.png at (471, 60) confidence=1.000
2026-03-24 13:24:05 | INFO     | clickbot.executor | Click at (471, 60)
2026-03-24 13:24:06 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:06 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/02_efile_center.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:06 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\02_efile_center.png ((21, 244, 3))
2026-03-24 13:24:06 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.985 (threshold=0.8)
2026-03-24 13:24:06 | INFO     | clickbot.vision | Element found: 1040/02_efile_center.png at (813, 375) confidence=0.985
2026-03-24 13:24:06 | DEBUG    | clickbot.vision | wait_for_element: found 1040/02_efile_center.png after 1 polls
2026-03-24 13:24:06 | INFO     | clickbot.process_executor |   -> Screen verified: 1040/02_efile_center.png
2026-03-24 13:24:06 | INFO     | clickbot.process_executor | [1040] Step  2/19 | click_submit_electronic_filing      | Select Submit Electronic Filing Return in popup
2026-03-24 13:24:06 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\02_efile_center.png ((21, 244, 3))
